Name,Listing Date,Issue Price,Listing Price,LTP,Returns from issue price
Steelman Telecom Ltd,10-Oct-22,96,161,134,39.58
Cargosol Logistics Ltd,10-Oct-22,28,42.4,19,-32.14
Insolation Energy Ltd,10-Oct-22,38,76.1,284,647.37
Cargotrans Maritime Ltd,10-Oct-22,45,70,81,80
Trident Lifeline Ltd,10-Oct-22,101,105,263.65,161.04
Silicon Rental Solutions Ltd,10-Oct-22,78,80,221.9,184.49
Reetech International Cargo & Courier Ltd,10-Oct-22,105,82,30.9,-70.57
Mafia Trends Ltd,06-Oct-22,28,32.65,15.49,-44.68
Containe Technologies Ltd,30-Sep-22,15,22,64.39,329.27
Kandarp Digi Smart BPO Ltd,28-Sep-22,30,30,77.65,158.83
Annapurna Swadisht Ltd,27-Sep-22,70,120,274.1,291.57
Harsha Engineers International Ltd,26-Sep-22,330,444,409.5,24.09
Tapi Fruit Processing Ltd,22-Sep-22,48,52.1,89.4,86.25
Ishan International Ltd,22-Sep-22,80,82,1.3,-98.38
Sabar Flex India Ltd,21-Sep-22,11,21,7.2,-34.55
Shantidoot Infra Services Ltd,19-Sep-22,81,105,305,276.54
Mega Flex Plastics Ltd,19-Sep-22,40,54,54.55,36.38
Viviana Power Tech Ltd,16-Sep-22,55,90,728.55,1224.64
Virtuoso Optoelectronics Ltd,15-Sep-22,56,117,599,969.64
Tamilnad Mercantile Bank Ltd,15-Sep-22,510,510,417.7,-18.1
EP Biocomposites Ltd,13-Sep-22,126,160.25,126.75,0.6
Ameya Precision Engineers Ltd,08-Sep-22,34,68.4,100,194.12
Jay Jalaram Technologies Ltd,08-Sep-22,36,50,211.1,486.39
JFL Life Sciences Ltd,08-Sep-22,61,70,19.45,-68.11
Dreamfolks Services Ltd,06-Sep-22,326,505,252.3,-22.61
Rhetan TMT Ltd,05-Sep-22,70,70,14.64,-79.09
Naturo Indiabull Ltd,02-Sep-22,30,25,3.26,-89.13
Olatech Solutions Ltd,29-Aug-22,27,51.3,263.45,875.74
Syrma SGS Technology Ltd,26-Aug-22,220,262,449.55,104.34
Veekayem Fashion & Apparels Ltd,22-Aug-22,28,49.9,227.9,713.93
Upsurge Seeds of Agriculture Ltd,11-Aug-22,120,140,176.4,47
Agni Green Power Ltd.,01-Aug-22,10,25,21.25,112.5
Healthy Life Agritec Ltd,26-Jul-22,10,8.9,59.2,492
Veerkrupa Jewellers Ltd,18-Jul-22,27,27,1.2,-95.56
Jayant Infratech Ltd,13-Jul-22,67,76,70,4.48
SKP Bearing Industries Ltd,13-Jul-22,70,73,215,207.14
B-Right RealEstate Ltd,13-Jul-22,153,155,345,125.49
Kesar India Ltd,12-Jul-22,170,172.5,531.45,212.62
Mangalam Worldwide Ltd,11-Jul-22,101,102,153,51.49
Sailani Tours N Travels Ltd,08-Jul-22,15,15.5,13.55,-9.67
KCK Industries Ltd,08-Jul-22,30,25,47.5,58.33
Pearl Green Clubs and Resorts Ltd,07-Jul-22,186,189.05,111.6,-40
Modi`s Navnirman Ltd,06-Jul-22,180,189,233,29.44
Goel Food Products Ltd,28-Jun-22,72,75,13.92,-80.67
Scarnose International Ltd,27-Jun-22,55,55.5,90.25,64.09
Silver Pearl Hospitality & Luxury Spaces Ltd,17-Jun-22,18,16,7.56,-58
Fidel Softech Ltd,10-Jun-22,37,59.1,135.95,267.43
Rachana Infrastructure Ltd,10-Jun-22,135,138,34.5,-74.44
Aether Industries Ltd,03-Jun-22,642,706.15,912.7,42.17
eMudhra Ltd,01-Jun-22,256,271,836.85,226.89
Ethos Ltd,30-May-22,878,830,2628.6,199.38
Paradeep Phosphates Ltd,27-May-22,42,43.55,94.72,125.52
Venus Pipes & Tubes Ltd,24-May-22,326,335,1495.9,358.87
Delhivery Ltd,24-May-22,487,493,255.45,-47.55
Prudent Corporate Advisory Services Ltd,20-May-22,630,660,1973.85,213.31
CMS Info Systems Ltd,31-Dec-21,216,218.5,452.75,109.61
Brandbucket Media & Technology Ltd,31-Dec-21,55,55.25,6.33,-88.49
Wherrelz IT Solutions Ltd,29-Dec-21,171,173.05,237.5,38.89
Supriya Lifescience Ltd,28-Dec-21,274,425,644,135.04
HP Adhesives Ltd,27-Dec-21,274,319,51.36,-81.26
Data Patterns (India) Ltd,24-Dec-21,585,864,1628.25,178.33
Euro Panel Products Ltd,24-Dec-21,70,70,153,118.57
Medplus Health Services Ltd,23-Dec-21,796,1015,708.75,-10.96
Nupur Recyclers Ltd,23-Dec-21,60,74,65.91,9.85
Metro Brands Ltd,22-Dec-21,500,436,1120.85,124.17
C.E. Info Systems Ltd,21-Dec-21,1033,1581,1645.55,59.3
Shriram Properties Ltd,20-Dec-21,118,94,73.36,-37.83
Rategain Travel Technologies Ltd,17-Dec-21,425,364.8,506.35,19.14
Anand Rathi Wealth Ltd,14-Dec-21,550,602.05,1865,239.09
Tega Industries Ltd,13-Dec-21,453,753,1358.7,199.93
Star Health & Allied Insurance Company Ltd,10-Dec-21,900,848.8,366.55,-59.27
Go Fashion (India) Ltd,30-Nov-21,690,1316,714.75,3.59
Omnipotent Industries Ltd,29-Nov-21,63,99,7.71,-87.76
Tarsons Products Ltd,26-Nov-21,662,700,319.4,-51.75
